Molecular Weight,C,Compositions,GalNAcS,GalP,GalS,NeuGc,Hex,Pen,Fuc,Neu,HexNAc,NeuAcAc,ManP,Kdn,HexN,HexA,GlcNAcS,Xxx,GlcAS,GalNAcS2,Rha,Xyl,NeuAc,Water,Adduct/Replacement,Adduct Amount,Peptide Sequence,Peptide Modification,Peptide Missed Cleavage Number,Number of Glycan Attachment to Peptide,Start AA,End AA
2882.0466697887,0,[0;0;0;0;8;0;1;0;7;0;0;0;0;0;0;0;0;0;0;0;0;1],0,0,0,0,8,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,/0,0,,,0,0,0,0
1543.5090740987,0,[1;0;0;0;3;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1],1,0,0,0,3,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,/0,0,,,0,0,0,0
1640.5921726037,0,[0;0;0;0;5;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;1],0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,/0,0,,,0,0,0,0
2882.0466697887,0,[0;0;0;0;8;0;1;0;7;0;0;0;0;0;0;0;0;0;0;0;0;1],0,0,0,0,8,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,/0,0,,,0,0,0,0
2589.9560041887,0,[0;0;0;0;6;0;4;0;5;0;0;0;0;0;0;0;0;0;0;0;0;1],0,0,0,0,6,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,/0,0,,,0,0,0,0
1167.3245080787,0,[0;0;0;0;3;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;1],0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,/0,0,,,0,0,0,0
1640.5921726037,0,[0;0;0;0;5;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;1],0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,/0,0,,,0,0,0,0
2879.0106186137,0,[0;0;0;0;6;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;3;1],0,0,0,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,1,/0,0,,,0,0,0,0
896.3485158337,0,[0;0;0;0;2;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1],0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,/0,0,,,0,0,0,0
1201.4231970287,0,[0;0;0;0;3;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;1],0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,/0,0,,,0,0,0,0
1802.6449961037,0,[0;0;0;0;6;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;1],0,0,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,/0,0,,,0,0,0,0
1933.7032393087,0,[0;0;0;0;5;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;1;1],0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,1,/0,0,,,0,0,0,0
1480.5549991737,0,[0;0;0;0;4;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;0;1],0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,/0,0,,,0,0,0,0
2079.7611481787,0,[0;0;0;0;5;0;1;0;3;0;0;0;0;0;0;1;0;0;0;0;1;1],0,0,0,0,5,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,1,1,/0,0,,,0,0,0,0
1072.3806038937,0,[0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1],0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,/0,0,,,0,0,0,0
1261.4807119387,0,[0;0;0;0;3;0;1;0;2;0;0;0;0;0;0;1;0;0;0;0;0;1],0,0,0,0,3,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,/0,0,,,0,0,0,0
1261.4807119387,0,[0;0;0;0;3;0;1;0;2;0;0;0;0;0;0;1;0;0;0;0;0;1],0,0,0,0,3,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,/0,0,,,0,0,0,0
1423.5335354387,0,[0;0;0;0;4;0;1;0;2;0;0;0;0;0;0;1;0;0;0;0;0;1],0,0,0,0,4,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,/0,0,,,0,0,0,0
